#Note:E; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
880 9.17384105e+0 -6.92001287e+0
882 7.78619217e+0 -7.20291037e+0
884 6.58990732e+0 -7.21755507e+0
886 5.59040933e+0 -7.06928867e+0
888 4.76764598e+0 -6.83072102e+0
890 4.09377851e+0 -6.54821813e+0
892 3.54146866e+0 -6.24992367e+0
894 3.08697099e+0 -5.95220547e+0
896 2.71078519e+0 -5.66411945e+0
898 2.39732523e+0 -5.39029506e+0
900 2.13428634e+0 -5.13273612e+0
902 1.91199439e+0 -4.89192382e+0
904 1.72283914e+0 -4.66748485e+0
906 1.56081389e+0 -4.45859246e+0
908 1.42115404e+0 -4.26420496e+0
910 1.30005802e+0 -4.08320530e+0
912 1.19447344e+0 -3.91448092e+0
914 1.10193344e+0 -3.75696728e+0
916 1.02043136e+0 -3.60966983e+0
918 9.48324443e-1 -3.47167300e+0
920 8.84259443e-1 -3.34214180e+0
922 8.27114907e-1 -3.22031912e+0
924 7.75956124e-1 -3.10552090e+0
926 7.29999735e-1 -2.99713028e+0
928 6.88585793e-1 -2.89459148e+0
930 6.51155550e-1 -2.79740373e+0
932 6.17233708e-1 -2.70511560e+0
934 5.86414152e-1 -2.61731977e+0
936 5.58348416e-1 -2.53364821e+0
938 5.32736315e-1 -2.45376789e+0
940 5.09318289e-1 -2.37737700e+0
942 4.87869122e-1 -2.30420146e+0
944 4.68192764e-1 -2.23399193e+0
946 4.50118035e-1 -2.16652111e+0
948 4.33495062e-1 -2.10158135e+0
950 4.18192293e-1 -2.03898259e+0
952 4.04094002e-1 -1.97855044e+0
954 3.91098185e-1 -1.92012455e+0
956 3.79114785e-1 -1.86355712e+0
958 3.68064192e-1 -1.80871163e+0
960 3.57875968e-1 -1.75546164e+0
962 3.48487764e-1 -1.70368976e+0
964 3.39844399e-1 -1.65328672e+0
966 3.31897071e-1 -1.60415054e+0
968 3.24602690e-1 -1.55618576e+0
970 3.17923305e-1 -1.50930277e+0
972 3.11825619e-1 -1.46341721e+0
974 3.06280581e-1 -1.41844937e+0
976 3.01263039e-1 -1.37432372e+0
978 2.96751452e-1 -1.33096844e+0
980 2.92727656e-1 -1.28831496e+0
982 2.89176678e-1 -1.24629756e+0
984 2.86086585e-1 -1.20485303e+0
986 2.83448385e-1 -1.16392030e+0
988 2.81255964e-1 -1.12344013e+0
990 2.79506051e-1 -1.08335474e+0
992 2.78198237e-1 -1.04360759e+0
994 2.77335022e-1 -1.00414304e+0
996 2.76921905e-1 -9.64906081e-1
998 2.76967522e-1 -9.25842064e-1
1000 2.77483820e-1 -8.86896439e-1
1002 2.78486298e-1 -8.48014477e-1
1004 2.79994290e-1 -8.09141017e-1
1006 2.82031329e-1 -7.70220201e-1
1008 2.84625571e-1 -7.31195214e-1
1010 2.87810321e-1 -6.92008026e-1
1012 2.91624646e-1 -6.52599143e-1
1014 2.96114123e-1 -6.12907359e-1
1016 3.01331709e-1 -5.72869525e-1
1018 3.07338795e-1 -5.32420340e-1
1020 3.14206445e-1 -4.91492175e-1
1022 3.22016877e-1 -4.50014946e-1
1024 3.30865225e-1 -4.07916066e-1
1026 3.40861637e-1 -3.65120506e-1
1028 3.52133786e-1 -3.21551011e-1
1030 3.64829856e-1 -2.77128548e-1
1032 3.79122129e-1 -2.31773065e-1
1034 3.95211255e-1 -1.85404709e-1
1036 4.13331373e-1 -1.37945662e-1
1038 4.33756206e-1 -8.93228683e-2
1040 4.56806321e-1 -3.94719803e-2
1042 4.82857715e-1 1.16569754e-2
1044 5.12351902e-1 6.40915587e-2
1046 5.45807584e-1 1.17825571e-1
1048 5.83833908e-1 1.72803139e-1
1050 6.27145018e-1 2.28896506e-1
1052 6.76575161e-1 2.85875200e-1
1054 7.33092757e-1 3.43363564e-1
1056 7.97810435e-1 4.00782761e-1
1058 8.71985673e-1 4.57272728e-1
1060 9.57002994e-1 5.11589245e-1
1062 1.05432304e+0 5.61972504e-1
1064 1.16537603e+0 6.05987712e-1
1066 1.29136742e+0 6.40348466e-1
1068 1.43295503e+0 6.60754086e-1
1070 1.58975625e+0 6.61807743e-1
1072 1.75966844e+0 6.37134297e-1
1074 1.93805831e+0 5.79872600e-1
1076 2.11702271e+0 4.83733165e-1
1078 2.28512707e+0 3.44703472e-1
1080 2.42817370e+0 1.63159753e-1
1082 2.53139970e+0 -5.43583931e-2
1084 2.58285461e+0 -2.94810346e-1
1086 2.57677454e+0 -5.40539458e-1
1088 2.51531965e+0 -7.73033067e-1
1090 2.40773527e+0 -9.76999238e-1
1092 2.26745019e+0 -1.14300308e+0
1094 2.10863047e+0 -1.26789915e+0
1096 1.94356974e+0 -1.35353934e+0
1098 1.78144598e+0 -1.40480129e+0
1100 1.62822246e+0 -1.42779336e+0
1102 1.48718453e+0 -1.42861678e+0
1104 1.35967311e+0 -1.41269540e+0
