#Note:D; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
1096 2.61708763e+0 -1.36878301e+0
1098 2.38909931e+0 -1.38473213e+0
1100 2.18375410e+0 -1.37076158e+0
1102 2.00140842e+0 -1.33490988e+0
1104 1.84100134e+0 -1.28348794e+0
1106 1.70075901e+0 -1.22127727e+0
1108 1.57863849e+0 -1.15180805e+0
1110 1.47258634e+0 -1.07763357e+0
1112 1.38067618e+0 -1.00056656e+0
1114 1.30117186e+0 -9.21868853e-1
1116 1.23254761e+0 -8.42397591e-1
1118 1.17348483e+0 -7.62714949e-1
1120 1.12285720e+0 -6.83169306e-1
1122 1.07971136e+0 -6.03954575e-1
1124 1.04324647e+0 -5.25153289e-1
1126 1.01279518e+0 -4.46767706e-1
1128 9.87806360e-1 -3.68742177e-1
1130 9.67830441e-1 -2.90979131e-1
1132 9.52506997e-1 -2.13350447e-1
1134 9.41554674e-1 -1.35705471e-1
1136 9.34763192e-1 -5.78766136e-2
1138 9.31987261e-1 2.03168020e-2
1140 9.33142242e-1 9.90659309e-2
1142 9.38201438e-1 1.78570668e-1
1144 9.47194920e-1 2.59038485e-1
1146 9.60209861e-1 3.40683606e-1
1148 9.77392396e-1 4.23726306e-1
1150 9.98951062e-1 5.08392144e-1
1152 1.02516196e+0 5.94910891e-1
1154 1.05637581e+0 6.83514902e-1
1156 1.09302718e+0 7.74436615e-1
1158 1.13564613e+0 8.67904716e-1
1160 1.18487285e+0 9.64138408e-1
1162 1.24147555e+0 1.06333896e+0
1164 1.30637231e+0 1.16567740e+0
1166 1.38065755e+0 1.27127681e+0
1168 1.46563343e+0 1.38018697e+0
1170 1.56284702e+0 1.49234832e+0
1172 1.67413294e+0 1.60754094e+0
1174 1.80166108e+0 1.72531259e+0
1176 1.94798695e+0 1.84487770e+0
1178 2.11609957e+0 1.96497646e+0
1180 2.30945690e+0 2.08367970e+0
1182 2.53199011e+0 2.19812245e+0
1184 2.78804401e+0 2.30414692e+0
1186 3.08219925e+0 2.39583930e+0
1188 3.41888982e+0 2.46495958e+0
1190 3.80168881e+0 2.50030316e+0
1192 4.23209606e+0 2.48711699e+0
1194 4.70765711e+0 2.40684597e+0
1196 5.21934874e+0 2.23771489e+0
1198 5.74850543e+0 1.95689812e+0
1200 6.26424967e+0 1.54506748e+0
1202 6.72332184e+0 9.93497217e-1
1204 7.07470112e+0 3.12224292e-1
1206 7.27018318e+0 -4.64576399e-1
1208 7.27844177e+0 -1.28079284e+0
1210 7.09606983e+0 -2.06999446e+0
1212 6.74904121e+0 -2.77219532e+0
1214 6.28359589e+0 -3.34751214e+0
1216 5.75207860e+0 -3.78084757e+0
1218 5.20088649e+0 -4.07793222e+0
1220 4.66426854e+0 -4.25723461e+0
1222 4.16355262e+0 -4.34217633e+0
1224 3.70944584e+0 -4.35580589e+0
1226 3.30523413e+0 -4.31807443e+0
1228 2.94965356e+0 -4.24496416e+0
1230 2.63901305e+0 -4.14864169e+0
1232 2.36858363e+0 -4.03804394e+0
1234 2.13342451e+0 -3.91956084e+0
1236 1.92882813e+0 -3.79765891e+0
1238 1.75052866e+0 -3.67539255e+0
1240 1.59477314e+0 -3.55479915e+0
1242 1.45831871e+0 -3.43719386e+0
1244 1.33839360e+0 -3.32338476e+0
1246 1.23264367e+0 -3.21382759e+0
1248 1.13907598e+0 -3.10873609e+0
1250 1.05600544e+0 -3.00816008e+0
1252 9.82006878e-1 -2.91204049e+0
1254 9.15873501e-1 -2.82024787e+0
1256 8.56581450e-1 -2.73260932e+0
1258 8.03259992e-1 -2.64892710e+0
1260 7.55166604e-1 -2.56899144e+0
1262 7.11666250e-1 -2.49258918e+0
1264 6.72214164e-1 -2.41950961e+0
1266 6.36341566e-1 -2.34954818e+0
1268 6.03643803e-1 -2.28250883e+0
1270 5.73770490e-1 -2.21820532e+0
1272 5.46417295e-1 -2.15646190e+0
1274 5.21319094e-1 -2.09711346e+0
1276 4.98244235e-1 -2.04000542e+0
1278 4.76989730e-1 -1.98499340e+0
1280 4.57377211e-1 -1.93194280e+0
1282 4.39249523e-1 -1.88072817e+0
1284 4.22467835e-1 -1.83123279e+0
1286 4.06909195e-1 -1.78334795e+0
1288 3.92464450e-1 -1.73697252e+0
1290 3.79036469e-1 -1.69201230e+0
1292 3.66538625e-1 -1.64837956e+0
1294 3.54893490e-1 -1.60599250e+0
1296 3.44031719e-1 -1.56477484e+0
1298 3.33891080e-1 -1.52465535e+0
1300 3.24415620e-1 -1.48556747e+0
1302 3.15554944e-1 -1.44744894e+0
1304 3.07263580e-1 -1.41024143e+0
1306 2.99500438e-1 -1.37389028e+0
1308 2.92228327e-1 -1.33834415e+0
1310 2.85413541e-1 -1.30355482e+0
1312 2.79025490e-1 -1.26947689e+0
1314 2.73036380e-1 -1.23606756e+0
1316 2.67420929e-1 -1.20328647e+0
1318 2.62156117e-1 -1.17109546e+0
1320 2.57220968e-1 -1.13945841e+0
1322 2.52596352e-1 -1.10834110e+0
1324 2.48264813e-1 -1.07771102e+0
1326 2.44210418e-1 -1.04753728e+0
1328 2.40418619e-1 -1.01779043e+0
1330 2.36876134e-1 -9.88442388e-1
1332 2.33570834e-1 -9.59466322e-1
