#Note:A; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
904 1.75546320e-1 -1.67598997e+0
906 1.73273629e-1 -1.65340220e+0
908 1.71077689e-1 -1.63111950e+0
910 1.68955927e-1 -1.60913117e+0
912 1.66905918e-1 -1.58742686e+0
914 1.64925382e-1 -1.56599655e+0
916 1.63012173e-1 -1.54483056e+0
918 1.61164280e-1 -1.52391952e+0
920 1.59379816e-1 -1.50325434e+0
922 1.57657020e-1 -1.48282621e+0
924 1.55994245e-1 -1.46262655e+0
926 1.54389963e-1 -1.44264705e+0
928 1.52842759e-1 -1.42287960e+0
930 1.51351329e-1 -1.40331630e+0
932 1.49914478e-1 -1.38394946e+0
934 1.48531123e-1 -1.36477154e+0
936 1.47200290e-1 -1.34577519e+0
938 1.45921113e-1 -1.32695318e+0
940 1.44692841e-1 -1.30829846e+0
942 1.43514838e-1 -1.28980405e+0
944 1.42386584e-1 -1.27146312e+0
946 1.41307683e-1 -1.25326890e+0
948 1.40277866e-1 -1.23521473e+0
950 1.39297002e-1 -1.21729399e+0
952 1.38365101e-1 -1.19950012e+0
954 1.37482330e-1 -1.18182661e+0
956 1.36649020e-1 -1.16426693e+0
958 1.35865684e-1 -1.14681458e+0
960 1.35133035e-1 -1.12946305e+0
962 1.34452004e-1 -1.11220578e+0
964 1.33823765e-1 -1.09503616e+0
966 1.33249766e-1 -1.07794750e+0
968 1.32731759e-1 -1.06093304e+0
970 1.32271844e-1 -1.04398589e+0
972 1.31872514e-1 -1.02709900e+0
974 1.31536715e-1 -1.01026520e+0
976 1.31267908e-1 -9.93477079e-1
978 1.31070154e-1 -9.76727054e-1
980 1.30948211e-1 -9.60007277e-1
982 1.30907643e-1 -9.43309639e-1
984 1.30954967e-1 -9.26625743e-1
986 1.31097813e-1 -9.09946884e-1
988 1.31345134e-1 -8.93264038e-1
990 1.31707445e-1 -8.76567864e-1
992 1.32197124e-1 -8.59848722e-1
994 1.32828779e-1 -8.43096716e-1
996 1.33619689e-1 -8.26301787e-1
998 1.34590349e-1 -8.09453856e-1
1000 1.35765131e-1 -7.92543060e-1
1002 1.37173099e-1 -7.75560121e-1
1004 1.38848987e-1 -7.58496900e-1
1006 1.40834388e-1 -7.41347226e-1
1008 1.43179171e-1 -7.24108130e-1
1010 1.45943131e-1 -7.06781648e-1
1012 1.49197850e-1 -6.89377466e-1
1014 1.53028682e-1 -6.71916738e-1
1016 1.57536598e-1 -6.54437592e-1
1018 1.62839423e-1 -6.37002934e-1
1020 1.69071501e-1 -6.19711332e-1
1022 1.76380099e-1 -6.02711749e-1
1024 1.84915669e-1 -5.86222533e-1
1026 1.94811495e-1 -5.70553880e-1
1028 2.06146434e-1 -5.56130078e-1
1030 2.18883839e-1 -5.43502139e-1
1032 2.32783228e-1 -5.33332345e-1
1034 2.47294450e-1 -5.26322075e-1
1036 2.61471986e-1 -5.23053156e-1
1038 2.73983826e-1 -5.23740584e-1
1040 2.83301547e-1 -5.27966520e-1
1042 2.88090321e-1 -5.34552442e-1
1044 2.87661873e-1 -5.41728018e-1
1046 2.82234186e-1 -5.47591868e-1
1048 2.72826197e-1 -5.50635480e-1
1050 2.60866446e-1 -5.50051586e-1
1052 2.47762421e-1 -5.45727894e-1
1054 2.34625256e-1 -5.38033717e-1
1056 2.22187400e-1 -5.27566241e-1
1058 2.10847536e-1 -5.14959724e-1
1060 2.00763100e-1 -5.00780403e-1
1062 1.91940397e-1 -4.85487236e-1
1064 1.84303028e-1 -4.69430419e-1
1066 1.77737007e-1 -4.52866478e-1
1068 1.72117626e-1 -4.35977783e-1
1070 1.67323962e-1 -4.18890799e-1
1072 1.63245783e-1 -4.01691105e-1
1074 1.59786087e-1 -3.84434949e-1
1076 1.56861300e-1 -3.67157813e-1
1078 1.54400352e-1 -3.49880606e-1
1080 1.52343280e-1 -3.32614089e-1
1082 1.50639736e-1 -3.15362003e-1
1084 1.49247562e-1 -2.98123260e-1
1086 1.48131519e-1 -2.80893485e-1
1088 1.47262184e-1 -2.63666083e-1
1090 1.46615021e-1 -2.46432985e-1
1092 1.46169597e-1 -2.29185152e-1
1094 1.45908935e-1 -2.11912927e-1
1096 1.45818988e-1 -1.94606269e-1
1098 1.45888195e-1 -1.77254898e-1
1100 1.46107124e-1 -1.59848398e-1
1102 1.46468182e-1 -1.42376268e-1
1104 1.46965372e-1 -1.24827948e-1
1106 1.47594104e-1 -1.07192828e-1
1108 1.48351035e-1 -8.94602368e-2
1110 1.49233949e-1 -7.16194274e-2
1112 1.50241658e-1 -5.36595492e-2
1114 1.51373923e-1 -3.55696182e-2
1116 1.52631407e-1 -1.73384825e-2
1118 1.54015630e-1 1.04521575e-3
1120 1.55528951e-1 1.95930807e-2
1122 1.57174557e-1 3.83170054e-2
1124 1.58956474e-1 5.72292163e-2
1126 1.60879579e-1 7.63423202e-2
1128 1.62949637e-1 9.56693532e-2
1130 1.65173343e-1 1.15223831e-1
1132 1.67558381e-1 1.35019803e-1
1134 1.70113501e-1 1.55071907e-1
1136 1.72848600e-1 1.75395429e-1
1138 1.75774837e-1 1.96006362e-1
1140 1.78904755e-1 2.16921470e-1
1142 1.82252431e-1 2.38158354e-1
1144 1.85833648e-1 2.59735521e-1
1146 1.89666104e-1 2.81672454e-1
1148 1.93769640e-1 3.03989678e-1
